epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,3706.68,0.35917,0.2944,0.97503,0.99833,0.97273,0.99275,0.97155,0.18058,0.19731,0.6205,0.0003962,0.0003962,0.0003962
164,3889.21,0.35124,0.30044,0.97767,0.9977,0.97273,0.99291,0.97007,0.1828,0.20088,0.62018,0.0003863,0.0003863,0.0003863
165,4069.59,0.35304,0.29971,0.97697,0.99737,0.97273,0.99312,0.96931,0.18564,0.21301,0.62096,0.0003764,0.0003764,0.0003764
166,4253.4,0.34937,0.29378,0.97417,0.9981,0.97273,0.99279,0.97109,0.18441,0.23814,0.62181,0.0003665,0.0003665,0.0003665
167,4432.47,0.34891,0.28794,0.97489,0.99796,0.97273,0.99285,0.97367,0.1839,0.26772,0.62161,0.0003566,0.0003566,0.0003566
168,4615.85,0.34382,0.27759,0.96306,0.99821,0.97273,0.99317,0.97398,0.18072,0.27752,0.61918,0.0003467,0.0003467,0.0003467
169,4798.71,0.34985,0.2878,0.97617,0.99977,0.97273,0.99326,0.96987,0.18069,0.2482,0.61851,0.0003368,0.0003368,0.0003368
170,4980.25,0.33555,0.27466,0.96202,1,0.97253,0.99317,0.97192,0.17699,0.29995,0.61947,0.0003269,0.0003269,0.0003269
171,5164.73,0.34702,0.28658,0.96555,1,0.96995,0.99336,0.97412,0.17753,0.32853,0.62051,0.000317,0.000317,0.000317
172,5346.36,0.34905,0.28691,0.97214,1,0.97002,0.99325,0.97244,0.18222,0.27194,0.62099,0.0003071,0.0003071,0.0003071
173,5529.35,0.33682,0.27945,0.95434,1,0.96892,0.99339,0.97191,0.18334,0.30872,0.62203,0.0002972,0.0002972,0.0002972
174,5712.38,0.33425,0.27582,0.95779,1,0.97075,0.99363,0.97356,0.17979,0.27864,0.61914,0.0002873,0.0002873,0.0002873
175,5894.67,0.33355,0.27711,0.96513,0.99778,0.97273,0.99332,0.97252,0.18021,0.22991,0.61864,0.0002774,0.0002774,0.0002774
176,1517.64,0.34812,0.29272,0.96619,0.98889,0.97273,0.99338,0.97147,0.18084,0.23841,0.62021,0.0002675,0.0002675,0.0002675
177,1712.43,0.33744,0.28065,0.97402,0.9907,0.96804,0.99272,0.96855,0.18198,0.26919,0.61982,0.0002576,0.0002576,0.0002576
178,1898.02,0.32815,0.27581,0.96034,0.99831,0.97273,0.99251,0.96908,0.18336,0.28122,0.62053,0.0002477,0.0002477,0.0002477
179,2088.21,0.32678,0.27096,0.95724,0.99658,0.97273,0.99364,0.9716,0.18142,0.2039,0.61818,0.0002378,0.0002378,0.0002378
180,2273.38,0.32942,0.27268,0.96662,0.99762,0.97273,0.99388,0.97279,0.17977,0.18874,0.61829,0.0002279,0.0002279,0.0002279
181,2455.66,0.32987,0.26997,0.96224,0.99748,0.97273,0.99395,0.97137,0.17934,0.20042,0.61915,0.000218,0.000218,0.000218
182,2648.71,0.31367,0.26272,0.95525,0.99842,0.97273,0.99413,0.97047,0.17828,0.18197,0.61979,0.0002081,0.0002081,0.0002081
